noise_removal1,combination,selection,noise_removal2,transformation,core,err_min,err_mean,err_median,err_90prctile,err_max,rmse
none,ica,xyz,none,abs,wavelet,"1,035617","52,035748","6,850322","27,887137","52,035748","17,862506"
none,ica,xyz,smooth,abs,wavelet,"1,035617","52,035748","6,850322","27,887137","52,035748","17,862506"
none,ica,xyz,bandpass,abs,wavelet,"1,035617","52,035748","6,850322","27,887137","52,035748","17,862506"
none,ica,xyz,wavelet,abs,wavelet,"1,035617","52,035748","6,850322","27,887137","52,035748","17,862506"
bandpass,ica,xz,none,abs,corr,"0,331159","20,485147","6,880268","18,797969","20,485147","10,984648"
bandpass,ica,xz,smooth,abs,corr,"0,331159","20,485147","6,880268","18,797969","20,485147","10,984648"
bandpass,ica,xz,bandpass,abs,corr,"0,331159","20,485147","6,880268","18,797969","20,485147","10,984648"
bandpass,ica,xz,wavelet,abs,corr,"0,331159","20,485147","6,880268","18,797969","20,485147","10,984648"
none,pca,z,none,none,wavelet,"0,393682","54,667504","6,970305","29,515256","54,667504","18,173296"
none,pca,z,smooth,none,wavelet,"0,393682","54,667504","6,970305","29,515256","54,667504","18,173296"
none,pca,z,bandpass,none,wavelet,"0,393682","54,667504","6,970305","29,515256","54,667504","18,173296"
none,pca,z,wavelet,none,wavelet,"0,393682","54,667504","6,970305","29,515256","54,667504","18,173296"
wavelet,ica,xyz,none,none,wavelet,"1,617013","37,059499","6,977577","21,727331","37,059499","13,743688"
wavelet,ica,xyz,smooth,none,wavelet,"1,617013","37,059499","6,977577","21,727331","37,059499","13,743688"
wavelet,ica,xyz,bandpass,none,wavelet,"1,617013","37,059499","6,977577","21,727331","37,059499","13,743688"
wavelet,ica,xyz,wavelet,none,wavelet,"1,617013","37,059499","6,977577","21,727331","37,059499","13,743688"
bandpass,none,yz,none,none,corr,"1,148267","17,85694","7,036927","15,368967","17,85694","9,3901"
bandpass,none,yz,smooth,none,corr,"1,148267","17,85694","7,036927","15,368967","17,85694","9,3901"
bandpass,none,yz,bandpass,none,corr,"1,148267","17,85694","7,036927","15,368967","17,85694","9,3901"
